iter	RMSE
0	78633.42145
1	77820.6509
2	77051.81173
3	76339.78359
4	75657.72234
5	75003.33171
6	74378.20617
7	73782.78101
8	73218.51522
9	72689.43216
10	72189.6519
11	71703.02642
12	71245.32226
13	70814.56228
14	70396.7545
15	70000.22575
16	69633.95471
17	69276.81184
18	68935.01858
19	68609.36594
20	68305.35398
21	68013.79004
22	67735.7704
23	67474.10434
24	67223.49943
25	66982.46279
26	66751.87613
27	66521.68868
28	66316.30611
29	66118.23086
30	65927.72887
31	65754.26171
32	65583.34624
33	65423.26762
34	65267.72657
35	65116.73663
36	64978.949
37	64835.25321
38	64710.55439
39	64591.73532
40	64472.68059
41	64350.00955
42	64238.64838
43	64122.66617
44	64009.9271
45	63911.44231
46	63816.69396
47	63725.28718
48	63634.3637
49	63551.89274
50	63468.92522
51	63386.56683
52	63303.86415
53	63230.36415
54	63159.83299
55	63091.97848
56	63027.74674
57	62964.70093
58	62904.21426
59	62841.08087
60	62780.73132
61	62722.76928
62	62670.10965
63	62609.52964
64	62559.70114
65	62513.45168
66	62466.42158
67	62419.81184
68	62375.33179
69	62329.07828
70	62291.29379
71	62253.15911
72	62218.4158
73	62180.40941
74	62144.57712
75	62109.33079
76	62070.67342
77	62033.49777
78	62000.52789
79	61969.17482
80	61938.85911
81	61910.19909
82	61876.7146
83	61849.02846
84	61818.60537
85	61788.82243
86	61761.52173
87	61730.74692
88	61707.12082
89	61683.51947
90	61661.40992
91	61637.77614
92	61606.19099
93	61584.8589
94	61565.60075
95	61544.94837
96	61522.37039
97	61504.5071
98	61478.09195
99	61456.21488
100	61432.68318
101	61412.79894
102	61394.35813
103	61375.03008
104	61356.11506
105	61337.75223
106	61317.17797
107	61296.18085
108	61278.78549
109	61260.76061
110	61243.80461
111	61229.21455
112	61214.50886
113	61199.38276
114	61184.7476
115	61168.80726
116	61168.32313
117	61149.30716
118	61132.29271
119	61119.99026
120	61101.0659
121	61093.32236
122	61092.44788
123	61079.45533
124	61066.86576
125	61054.8808
126	61054.25466
127	61037.40248
128	61025.97457
129	61025.50021
130	61008.53786
131	60995.19297
132	60978.97841
133	60978.53561
134	60976.98382
135	60972.67284
136	60963.01555
137	60947.66121
138	60935.23017
139	60933.17275
140	60920.30483
141	60917.43547
142	60910.47697
143	60897.59828
144	60884.77097
145	60881.67246
146	60880.81224
147	60868.43001
148	60854.93012
149	60853.13401
150	60843.15268
151	60832.94151
152	60824.78569
153	60812.24206
154	60803.96915
155	60795.36462
156	60794.9705
157	60781.69881
158	60770.79344
159	60770.36161
160	60757.25714
161	60756.86079
162	60740.34772
163	60729.35375
164	60718.02399
165	60716.33599
166	60706.26901
167	60705.43717
168	60704.38536
169	60703.71091
170	60703.2621
171	60701.11583
172	60699.90373
173	60699.53149
174	60690.84423
175	60684.06679
176	60673.45407
177	60658.94476
178	60649.28211
179	60648.2514
180	60647.50045
181	60631.99321
182	60631.30256
183	60624.23519
184	60623.40032
185	60612.73797
186	60612.28527
187	60611.8909
188	60609.52945
189	60605.10279
190	60595.81509
191	60586.03722
192	60580.67519
193	60577.87439
194	60573.20418
195	60565.03719
196	60547.99688
197	60547.4516
198	60532.76215
199	60530.55911
200	60528.52259
201	60527.89589
202	60514.79855
203	60509.19716
204	60504.89225
205	60500.56761
206	60494.69799
207	60488.7353
208	60483.5202
209	60482.90479
210	60476.12533
211	60466.54054
212	60466.22539
213	60463.66706
214	60463.3579
215	60463.03221
216	60453.76334
217	60443.34597
218	60442.58108
219	60431.3236
220	60429.94259
221	60419.61905
222	60410.57723
223	60398.01588
224	60391.46765
225	60384.94839
226	60369.22822
227	60358.78105
228	60358.47396
229	60354.64819
230	60349.34773
231	60348.47412
232	60346.66419
233	60341.9542
234	60340.53797
235	60340.23443
236	60336.6344
237	60336.36633
238	60329.71272
239	60326.12422
240	60316.07541
241	60314.31962
242	60299.52472
243	60297.17644
244	60295.68906
245	60285.0053
246	60278.13538
247	60269.48917
248	60263.1965
249	60262.9353
250	60256.88011
251	60249.70709
252	60247.48228
253	60241.80018
254	60239.35181
255	60238.79507
256	60238.46016
257	60230.56237
258	60219.42724
259	60210.72405
260	60197.41728
261	60193.83653
262	60193.58908
263	60186.09333
264	60184.47357
265	60179.84286
266	60172.04739
267	60155.78845
268	60145.4512
269	60137.23962
270	60136.68179
271	60131.32151
272	60124.8829
273	60124.65373
274	60122.42508
275	60115.07878
276	60114.3885
277	60102.70188
278	60099.92799
279	60093.0643
280	60088.95161
281	60086.00759
282	60083.21952
283	60075.80939
284	60067.13866
285	60057.94447
286	60048.78477
287	60043.24863
288	60037.05542
289	60029.79726
290	60021.97903
291	60008.22405
292	60001.75374
293	59994.76492
294	59992.69237
295	59985.35771
296	59982.39467
297	59980.33758
298	59978.23283
299	59972.95092
300	59965.10852
301	59953.76031
302	59943.58502
303	59940.54732
304	59927.98012
305	59926.44738
306	59923.46743
307	59917.16311
308	59911.40913
309	59908.23784
310	59900.06738
311	59898.05057
312	59891.74549
313	59886.09829
314	59877.26234
315	59875.40139
316	59864.84642
317	59857.58661
318	59850.62691
319	59850.16939
320	59847.97029
321	59841.52447
322	59840.35884
323	59830.27264
324	59829.75367
325	59829.41967
326	59820.98281
327	59810.99247
328	59801.00328
329	59793.70979
330	59785.78542
331	59783.41645
332	59778.27984
333	59773.55177
334	59771.3899
335	59762.66038
336	59757.63149
337	59747.113
338	59745.60476
339	59744.66194
340	59740.07088
341	59738.98254
342	59732.04523
343	59723.66795
344	59722.01054
345	59720.49073
346	59719.68153
347	59712.23943
348	59710.14958
349	59709.55267
350	59700.98427
351	59698.72432
352	59690.9099
353	59690.7361
354	59683.1181
355	59682.39306
356	59681.50886
357	59670.98972
358	59664.7713
359	59654.51936
360	59649.96506
361	59642.09943
362	59640.75348
363	59635.4699
364	59629.5754
365	59629.38972
366	59629.17693
367	59628.58417
368	59621.14699
369	59607.17662
370	59606.02914
371	59605.33939
372	59604.31486
373	59596.4623
374	59595.54929
375	59591.43131
376	59590.76355
377	59578.43904
378	59574.27974
379	59571.16001
380	59560.98724
381	59560.25543
382	59556.5939
383	59556.40928
384	59545.74424
385	59538.15436
386	59532.55897
387	59532.23292
388	59524.59984
389	59522.85851
390	59522.69291
391	59518.76971
392	59517.95623
393	59514.11455
394	59507.87332
395	59506.17725
396	59497.17065
397	59496.99649
398	59493.38275
399	59487.76285
400	59487.56912
401	59486.50318
402	59484.9772
403	59477.19289
404	59472.70501
405	59470.57611
406	59465.26675
407	59459.57538
408	59453.30881
409	59449.50906
410	59443.00866
411	59439.6377
412	59434.76453
413	59425.92826
414	59424.74751
415	59417.48497
416	59411.97314
417	59405.6039
418	59405.31582
419	59404.92592
420	59394.66777
421	59388.05326
422	59381.92155
423	59381.76155
424	59381.59869
425	59374.52988
426	59370.31223
427	59362.39148
428	59362.2413
429	59362.05381
430	59361.88283
431	59356.97592
432	59356.82746
433	59349.31701
434	59349.17654
435	59349.02409
436	59345.20673
437	59338.52142
438	59333.1615
439	59333.00759
440	59326.08384
441	59325.94162
442	59325.77141
443	59318.68709
444	59312.46171
445	59306.97147
446	59306.82152
447	59297.48363
448	59297.3417
449	59289.71124
450	59289.56523
451	59281.99076
452	59273.27781
453	59266.05157
454	59256.73531
455	59256.10004
456	59252.28222
457	59245.97314
458	59237.9949
459	59231.03866
460	59223.77819
461	59218.04324
462	59217.90556
463	59210.16488
464	59205.43216
465	59197.74479
466	59191.49499
467	59187.81082
468	59182.96753
469	59179.63997
470	59179.50031
471	59172.91611
472	59164.09979
473	59159.26306
474	59153.42825
475	59153.29248
476	59153.13898
477	59149.36738
478	59144.15967
479	59140.66464
480	59140.51611
481	59133.60369
482	59133.47326
483	59128.02636
484	59120.38363
485	59115.73358
486	59112.23955
487	59106.55588
488	59102.74492
489	59095.80721
490	59089.48845
491	59082.01086
492	59073.62836
493	59068.21555
494	59059.35738
495	59054.78303
496	59048.58444
497	59045.1577
498	59037.33902
499	59031.49053
500	59024.67337
501	59016.55943
502	59009.55029
503	59006.08814
504	59000.08758
505	58987.57018
506	58981.80681
507	58969.04953
508	58962.96707
509	58958.10867
510	58951.74926
511	58944.17169
512	58937.3467
513	58931.17237
514	58927.08049
515	58923.69444
516	58916.94616
517	58912.55284
518	58905.04572
519	58902.5513
520	58898.73885
521	58894.59042
522	58889.48173
523	58883.92717
524	58879.27677
525	58876.62793
526	58872.18061
527	58863.04317
528	58854.52361
529	58847.73334
530	58842.42022
531	58834.01185
532	58831.65241
533	58827.86855
534	58823.30124
535	58814.83819
536	58807.99957
537	58802.84732
538	58796.8698
539	58793.33737
540	58791.29714
541	58786.32387
542	58782.98792
543	58780.68354
544	58774.05984
545	58768.14923
546	58764.92976
547	58757.3742
548	58755.38908
549	58748.98246
550	58743.53613
551	58739.7895
552	58737.07132
553	58732.9555
554	58727.11369
555	58719.13104
556	58715.49684
557	58709.25148
558	58702.98894
559	58699.11568
560	58691.98615
561	58685.72151
562	58679.89595
563	58675.69777
564	58671.44982
565	58669.22485
566	58665.29218
567	58662.00626
568	58658.62934
569	58652.65072
570	58645.799
571	58645.68829
572	58639.04551
573	58634.94157
574	58631.75925
575	58625.85533
576	58621.76346
577	58621.6549
578	58618.35113
579	58611.54078
580	58607.7885
581	58602.29792
582	58596.69224
583	58593.38741
584	58587.8572
585	58584.0127
586	58579.72168
587	58573.81436
588	58573.67309
589	58568.8276
590	58561.11157
591	58557.1419
592	58551.31219
593	58547.58345
594	58542.14693
595	58542.04234
596	58539.32919
597	58534.14004
598	58528.86596
599	58528.73071
600	58525.73508
601	58520.48415
602	58510.86799
603	58502.86958
604	58499.28395
605	58484.98115
606	58478.12785
607	58477.9944
608	58473.56546
609	58466.52481
610	58462.59406
611	58457.48082
612	58452.52305
613	58452.39104
614	58448.69555
615	58446.66863
616	58446.54029
617	58446.44268
618	58438.88394
619	58436.76009
620	58431.08773
621	58426.23331
622	58426.10821
623	58422.84716
624	58416.34616
625	58412.48829
626	58407.65839
627	58401.95167
628	58401.82868
629	58393.89323
630	58388.60707
631	58384.90895
632	58379.82592
633	58374.74192
634	58372.50758
635	58367.09296
636	58366.98383
637	58362.47415
638	58355.27174
639	58355.1794
640	58355.0819
641	58348.83099
642	58345.83148
643	58345.7339
644	58342.55055
645	58337.91561
646	58332.77517
647	58329.37571
648	58323.59452
649	58319.81039
650	58315.78006
651	58312.82453
652	58309.88872
653	58302.16068
654	58295.16771
655	58293.30498
656	58286.61717
657	58279.96698
658	58279.75494
659	58272.04779
660	58265.93487
661	58258.95849
662	58258.82946
663	58254.59902
664	58251.10561
665	58251.01373
666	58243.65827
667	58237.09836
668	58233.05057
669	58228.76824
670	58226.27256
671	58223.7815
672	58223.57666
673	58217.97875
674	58209.85617
675	58197.57932
676	58186.27302
677	58186.1835
678	58180.57117
679	58178.70113
680	58175.71759
681	58173.03524
682	58167.63373
683	58161.13914
684	58157.98603
685	58154.37863
686	58150.71787
687	58144.90178
688	58139.66805
689	58133.64984
690	58128.95734
691	58127.72253
692	58123.42801
693	58123.30266
694	58114.81029
695	58105.53057
696	58100.57884
697	58098.78422
698	58093.01886
699	58092.82796
700	58087.79542
701	58086.55108
702	58081.31086
703	58077.94496
704	58072.99247
705	58072.87589
706	58071.74243
707	58068.97477
708	58067.76632
709	58063.74625
710	58061.0205
711	58052.25518
712	58045.48505
713	58042.6497
714	58042.46454
715	58036.61085
716	58030.21388
717	58026.30393
718	58019.53221
719	58017.86899
720	58016.49525
721	58012.41567
722	58007.55179
723	58007.47619
724	58002.29982
725	57996.41608
726	57993.91478
727	57987.04453
728	57984.75918
729	57980.97677
730	57979.81296
731	57973.26848
732	57970.13417
733	57964.92135
734	57960.86399
735	57956.94636
736	57952.62037
737	57948.38494
738	57944.90046
739	57938.11247
740	57933.38521
741	57930.44729
742	57926.61115
743	57920.52334
744	57918.90327
745	57918.08355
746	57916.75503
747	57913.56767
748	57904.75055
749	57901.57627
750	57899.55708
751	57896.32229
752	57893.53042
753	57891.92451
754	57888.59396
755	57885.77614
756	57882.93909
757	57878.50466
758	57878.43177
759	57875.40525
760	57875.33284
761	57871.21399
762	57865.68584
763	57865.61366
764	57865.54203
765	57857.33725
766	57856.53955
767	57850.98259
768	57849.32395
769	57849.25332
770	57844.20874
771	57842.98197
772	57838.10988
773	57836.56927
774	57830.70107
775	57830.63081
776	57827.34395
777	57823.18085
778	57819.78462
779	57818.02183
780	57813.07903
781	57809.63756
782	57806.90281
783	57804.65656
784	57804.58768
785	57802.73139
786	57802.43393
787	57796.47692
788	57795.45315
789	57792.51742
790	57790.69482
791	57784.90139
792	57781.90422
793	57775.20702
794	57775.11531
795	57775.0245
796	57769.47207
797	57766.90409
798	57765.50798
799	57764.1639
800	57755.88469
801	57753.55119
802	57752.77231
803	57748.30133
804	57747.21937
805	57745.63747
806	57743.36736
807	57741.37134
808	57734.71103
809	57733.10035
810	57729.1735
811	57727.6837
812	57724.16277
813	57719.43776
814	57713.51816
815	57708.19558
816	57704.25459
817	57703.06605
818	57701.08425
819	57696.3873
820	57687.20082
821	57685.62172
822	57678.17162
823	57676.83907
824	57671.77137
825	57665.39091
826	57662.59357
827	57658.73602
828	57654.12683
829	57652.61921
830	57647.55134
831	57644.99769
832	57643.73989
833	57640.14236
834	57636.32959
835	57628.96238
836	57625.93039
837	57620.775
838	57617.58945
839	57615.41444
840	57612.54567
841	57610.50606
842	57609.55435
843	57606.47191
844	57599.09384
845	57596.97937
846	57592.81441
847	57587.51896
848	57583.01181
849	57579.98256
850	57574.98627
851	57573.59608
852	57570.7292
853	57564.53637
854	57563.38859
855	57560.37975
856	57555.4651
857	57552.58055
858	57548.105
859	57544.77278
860	57538.22219
861	57536.07207
862	57532.25069
863	57531.57664
864	57527.05729
865	57522.81518
866	57519.81125
867	57515.06485
868	57511.09033
869	57505.99641
870	57501.12945
871	57499.63502
872	57497.77497
873	57496.64929
874	57492.91422
875	57484.22543
876	57481.30397
877	57476.47381
878	57470.56603
879	57462.40871
880	57457.69477
881	57456.70781
882	57455.24095
883	57449.06308
884	57443.92179
885	57438.40495
886	57433.77423
887	57428.64295
888	57425.57897
889	57423.70255
890	57422.01709
891	57419.52891
892	57417.50754
893	57413.91309
894	57408.36907
895	57403.20877
896	57400.20438
897	57392.36681
898	57388.99983
899	57382.97126
900	57380.07667
901	57378.24163
902	57374.99091
903	57374.31667
904	57369.0845
905	57367.90284
906	57364.96585
907	57361.51655
908	57357.82022
909	57354.1616
910	57351.97427
911	57349.83314
912	57345.71566
913	57339.52078
914	57337.58255
915	57334.67646
916	57330.34978
917	57325.80001
918	57321.20455
919	57318.87306
920	57314.6825
921	57309.87093
922	57307.37788
923	57303.78542
924	57299.73812
925	57295.76433
926	57289.61676
927	57287.50511
928	57284.41096
929	57282.49242
930	57278.22925
931	57272.81959
932	57270.75901
933	57268.29751
934	57267.348
935	57258.84598
936	57256.3311
937	57253.54574
938	57247.98405
939	57243.59841
940	57240.45938
941	57236.67626
942	57232.11524
943	57228.20988
944	57223.07584
945	57221.84401
946	57217.61617
947	57215.41917
948	57207.63714
949	57205.03407
950	57201.77347
951	57197.98936
952	57193.79612
953	57190.32362
954	57183.70643
955	57178.63474
956	57174.90397
957	57170.93786
958	57168.21819
959	57166.63571
960	57161.12332
961	57159.15312
962	57154.10658
963	57149.3643
964	57145.24231
965	57141.83384
966	57138.52019
967	57135.3399
968	57131.26541
969	57128.89847
970	57124.98425
971	57124.05052
972	57122.03661
973	57118.21629
974	57114.12379
975	57107.40486
976	57105.09024
977	57096.10668
978	57092.381
979	57090.55565
980	57086.06408
981	57082.44651
982	57078.56619
983	57070.58886
984	57067.20604
