iter	Passed	Remaining
0	7	15228
1	13	14560
2	20	14432
3	27	14518
4	33	14544
5	40	14479
6	47	14523
7	53	14412
8	61	14651
9	68	14614
10	75	14668
11	81	14606
12	88	14508
13	94	14456
14	100	14386
15	107	14331
16	113	14304
17	121	14386
18	127	14320
19	134	14312
20	141	14346
21	148	14341
22	155	14364
23	161	14329
24	168	14345
25	174	14314
26	182	14340
27	189	14358
28	196	14404
29	202	14363
30	209	14370
31	216	14319
32	222	14315
33	228	14267
34	235	14279
35	242	14278
36	250	14319
37	257	14321
38	264	14312
39	270	14300
40	277	14301
41	284	14305
42	292	14366
43	299	14346
44	306	14347
45	312	14328
46	319	14333
47	326	14318
48	333	14315
49	339	14291
50	346	14264
51	353	14269
52	360	14289
53	366	14260
54	374	14268
55	380	14241
56	386	14210
57	392	14191
58	399	14179
59	405	14153
60	412	14134
61	418	14126
62	425	14123
63	432	14133
64	439	14111
65	445	14097
66	452	14082
67	458	14061
68	465	14052
69	471	14038
70	478	14028
71	484	14009
72	490	13985
73	497	13969
74	503	13942
75	509	13915
76	515	13910
77	522	13894
78	529	13895
79	535	13869
80	543	13909
81	550	13900
82	556	13883
83	562	13860
84	569	13846
85	575	13828
86	582	13822
87	588	13805
88	594	13786
89	600	13774
90	607	13767
91	613	13750
92	620	13739
93	626	13719
94	631	13686
95	637	13667
96	644	13656
97	650	13634
98	656	13625
99	663	13614
100	669	13592
101	675	13582
102	681	13562
103	688	13558
104	694	13555
105	700	13531
106	707	13528
107	713	13508
108	719	13494
109	726	13487
110	732	13482
111	738	13461
112	745	13460
113	752	13460
114	759	13467
115	766	13454
116	768	13379
117	775	13371
118	781	13355
119	787	13342
120	793	13330
121	799	13314
122	805	13287
123	811	13284
124	818	13275
125	823	13255
126	830	13249
127	838	13258
128	849	13328
129	857	13348
130	866	13376
131	875	13407
132	883	13419
133	888	13380
134	894	13364
135	899	13339
136	905	13319
137	911	13306
138	917	13295
139	924	13289
140	930	13276
141	936	13258
142	941	13235
143	948	13235
144	954	13222
145	959	13190
146	964	13167
147	971	13160
148	978	13156
149	984	13142
150	990	13136
151	996	13118
